variant,idea,name,asset,trades_per_yr,total_return,cagr,sharpe,max_dd,bh_return,bh_max_dd,ret_2x,ret_3x,verdict,flags
78,IDEA-026,Volume-confirmed breakout,MSFT,5.2,0.202824990020336,0.0143290159855871,0.1296805933481365,-0.1846419563406812,9.162575480964993,-0.3646005760770029,,,FAIL,
79,IDEA-061,Donchian 4-week rule L/S,GLD,6.2,-0.3323451233783495,-0.0306438451065074,-0.16227782541085,-0.4731870860524472,0.5406328332689652,-0.4532452206750047,,,FAIL,
80,IDEA-080,Williams vol breakout (daily),GLD,10.3,0.1613226990702079,0.0115888072737047,0.2894405452820098,-0.0289593101915138,0.5406328332689652,-0.4532452206750047,,,FAIL,
81,IDEA-081,ATR channel + chandelier,GLD,5.0,0.1606081548605391,0.0115408423733138,0.1217490507084859,-0.1398343108952837,0.5406328332689652,-0.4532452206750047,,,FAIL,
82,IDEA-082,Range-compression breakout,GLD,2.1,-0.0704864301197468,-0.005615374740071,-0.2111349883903638,-0.2482162143908638,0.5406328332689652,-0.4532452206750047,,,FAIL,
83,IDEA-083,Flag/pennant breakout,GLD,0.0,0.0819841058112273,0.0060889967057691,0.0,-1.4563404595380192e-05,0.5406328332689652,-0.4532452206750047,,,FAIL,
84,IDEA-084,OBV-confirmed breakout,AAPL,7.2,6.484450380700801,0.1677391936603283,0.9354781065798832,-0.3273933290107594,18.754920258056387,-0.4419022008899439,,,FAIL,
85,IDEA-084,OBV-confirmed breakout,MSFT,7.9,0.742327540882395,0.0437026811994667,0.3194390540960232,-0.2479373751073609,9.162575480964993,-0.3646005760770029,,,FAIL,
86,IDEA-085,Swing-high breakout (3%),GLD,0.0,0.0819841058112273,0.0060889967057691,0.0,-1.4563404595380192e-05,0.5406328332689652,-0.4532452206750047,,,FAIL,
87,IDEA-086,Gold multi-month base breakout,GLD,1.9,0.0779353404344254,0.0057984544928548,0.0512284676065612,-0.3445342462574536,0.5406328332689652,-0.4532452206750047,,,FAIL,
88,IDEA-087,Prior-year-high breakout,SPY,0.5,1.5650521790301617,0.0752687930950384,0.5001368186424856,-0.3678807757849376,3.338272032196654,-0.3204897694856761,,,FAIL,
89,IDEA-088,NR7 breakout (adapted),GLD,30.0,0.2378008109276657,0.0165713736958732,0.1495831495709252,-0.2084720254327315,0.5406328332689652,-0.4532452206750047,,,FAIL,
90,IDEA-089,Ross hook pullback breakout,GLD,9.4,0.0760032294425185,0.0056594496859869,0.0466214938974192,-0.2895165923203302,0.5406328332689652,-0.4532452206750047,,,FAIL,
91,IDEA-028,Sell in May,SPY,2.0,1.634142968435532,0.0774728426646631,0.6390211797344215,-0.3204897694856757,3.338272032196654,-0.3204897694856761,,,FAIL,
92,IDEA-029,Turn-of-month,SPY,24.0,0.5355839128993678,0.0335955659976017,0.3972416078115829,-0.1501056735255672,3.338272032196654,-0.3204897694856761,,,FAIL,
93,IDEA-029,Turn-of-month,QQQ,24.0,0.6280933095497614,0.0382642786120552,0.3931429999252054,-0.1994805012217101,5.42886034099324,-0.3669303629848333,,,FAIL,
94,IDEA-030,Santa Claus rally,SPY,2.0,0.1438188012016432,0.0104059141885168,0.1943249546197553,-0.0682587320208145,3.338272032196654,-0.3204897694856761,,,FAIL,
95,IDEA-031,Gold seasonal Sep-Feb,GLD,2.0,0.0510288308147586,0.0038416371850726,0.0316887412772658,-0.2918389643903039,0.5406328332689652,-0.4532452206750047,,,FAIL,
96,IDEA-090,Gold seasonal Aug25-Oct31,GLD,2.0,-0.1159264946884996,-0.0094476580582654,-0.1992747698306636,-0.2850742877515412,0.5406328332689652,-0.4532452206750047,,,FAIL,
97,IDEA-032,Pre-holiday effect,SPY,18.1,0.1483174958904076,0.0107115175875955,0.1568284989519482,-0.0847544239933932,3.338272032196654,-0.3204897694856761,,,FAIL,
98,IDEA-091,Triple-witching drift,SPY,8.0,-0.0353534478956649,-0.0027691228183296,-0.2686541618204775,-0.1101366538753777,3.338272032196654,-0.3204897694856761,,,FAIL,
99,IDEA-033,Window dressing (sectors),9 SPDR sectors,,,,,,,,,,ERROR,Encountered all NA values
100,IDEA-034,Month-of-year seasonality (walk-fwd),SPY,3.6,1.39348330097163,0.0695491636385432,0.6257921874781308,-0.3009553797813257,3.338272032196654,-0.3204897694856761,,,FAIL,
101,IDEA-035+IDEA-041,Fixed-frac 1% w/ 2N stop,GLD (Donchian 20/10),90.5,0.2172595459482624,0.0152616397161928,0.24111727418997,-0.0889784989067415,0.5406328332689652,-0.4532452206750047,0.2033896385682134,0.1896766653013588,FAIL,
102,IDEA-036,ATR 'N' sizing,GLD (Donchian 20/10),102.0,0.3219264568710969,0.0217341046405086,0.3707580744268429,-0.1059336473808177,0.5406328332689652,-0.4532452206750047,0.3065078095278386,0.2912678170805469,FAIL,
103,IDEA-037,Half-Kelly sizing,GLD (Donchian 20/10),7.9,0.1616787018496066,0.0116126943532415,0.1730195101747831,-0.0872080290646331,0.5406328332689652,-0.4532452206750047,,,FAIL,
104,IDEA-038,Vol targeting 10%,SPY,51.2,1.8542986937587371,0.0841564951799291,0.6897216038920152,-0.1635490292558644,3.338272032196654,-0.3204897694856761,,,FAIL,
105,IDEA-039,1/N rebalancing,SPY/GLD/XLE/XLK/XLV,0.0,2.954209552933814,0.1117262801501821,0.7494885930951761,-0.3046873655291381,2.952628027281031,-0.3046873655291383,,,PASS,
106,IDEA-040,Pyramiding (Turtle adds),GLD (Donchian 20/10),16.6,0.4145774468026375,0.0270802608411691,0.287148629888814,-0.1495529931539684,0.5406328332689652,-0.4532452206750047,,,FAIL,
107,IDEA-042,Position/correlation caps,GLD/SPY/QQQ Donchian book,22.2,0.7725539904617933,0.0450865716399344,0.7130404558947022,-0.0796450262213189,2.8187542635341805,-0.2413635304981202,,,FAIL,
108,IDEA-044,Portfolio heat cap 6%,GLD/SPY/QQQ Donchian book,22.8,1.0676331330431683,0.0575582206085438,0.7117512779405761,-0.1049541956852839,2.8187542635341805,-0.2413635304981202,,,FAIL,
109,IDEA-093,Risk parity SPY/GLD/IEF,SPY/GLD/IEF,12.0,0.937255189456699,0.0522648496248228,0.7840143778765275,-0.1704532730197491,1.2766943749863344,-0.1741258805924532,,,FAIL,
110,IDEA-094,CPPI floor 90 / mult 3,SPY,0.0,3.340007861741042,0.1197283918753948,0.7215665175109376,-0.3204897694856758,3.338272032196654,-0.3204897694856761,,,PASS,
111,IDEA-095,Drawdown de-risking,GLD (Donchian 20/10),8.2,0.2712509630592297,0.0186618643813227,0.2041349778894949,-0.1722180561251308,0.5406328332689652,-0.4532452206750047,,,FAIL,
112,IDEA-096,VIX-scaled exposure,SPY (VIX signal),19.6,2.3598925269095012,0.0978637747448167,0.7032525317820317,-0.240889978864652,3.338272032196654,-0.3204897694856761,,,FAIL,
113,IDEA-097,Barbell 90/10,BIL + GLD sleeve,7.9,0.0969888456151057,0.0071570681626007,0.1078695231776239,-0.0249404855475725,0.3288878813587661,-0.2503722823381575,,,FAIL,
114,IDEA-098,Rebalancing bands 60/40,SPY/GLD,252.0,2.0810166095879645,0.0905593649489484,0.727932174672248,-0.2233793297903575,1.8016141787310724,-0.2012245309093574,2.0705479614445723,2.060114851330023,FAIL,
115,IDEA-004,XS momentum 12-1 top decile,9 SPDR sectors,3.9,4.359090135223306,0.13807178594614422,0.6521369979326573,-0.30721338374192586,3.4266694066237253,-0.34611039927581466,,,PASS,
116,IDEA-048,Dual momentum 4-asset,SPY/EFA/GLD/IEF (SHY cash),3.2,0.2347820922106152,0.016380159988590215,0.14312543190840252,-0.2626877069720217,1.1771027458748176,-0.2047771532459619,,,FAIL,
117,IDEA-033,Window dressing (sectors),9 SPDR sectors,10.1,0.10879149814868105,0.007987774921161872,0.06192698604932883,-0.18617575986694956,3.4266694066237253,-0.34611039927581466,,,FAIL,
